region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
3,11,33,1,7,136,5,5,0,0,6,1,0,1,1,4.4,20.75,0,15.25,35.7,42,211.45,0,125,380.35,0,1,1,0,1,1,1,1,0,1.48160454092422,3.03254624667671, ,2.72457950305342,3.57515068878559,4.91265488573605,4,1
2,33,33,0,12,33,2,0,0,1,1,0,0,0,0,9.45,0,0,0,0,288.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24601474150565, , , , ,3.49650756146648,1,1
2,41,39,0,17,78,2,16,0,1,1,1,0,1,0,11.8,19.25,0,13.5,0,487.4,798.4,0,570,0,0,0,0,0,1,1,0,0,0,2.46809953147162,2.95751106073379, ,2.60268968544438, ,4.35670882668959,3,0
2,38,35,0,5,76,2,10,0,0,3,1,1,1,1,6.05,45,50.1,23.25,64.9,239.55,1873.05,1820.9,880,2256.7,1,1,1,1,1,1,1,1,1,1.80005827204275,3.80666248977032,3.91402100809082,3.14630513203337,4.17284762371004,4.33073334028633,4,0
1,68,41,1,21,72,1,22,0,0,3,0,0,1,0,24.15,0,0,16.5,0,1659.7,0,0,1155,0,1,0,0,0,0,0,0,0,0,3.18428438009858, , ,2.80336038090653, ,4.27666611901606,2,0
3,7,35,0,14,80,2,15,0,1,1,1,0,1,0,7.1,22,0,23.75,0,47.45,166.1,0,145,0,0,1,0,0,1,1,1,1,0,1.96009478404727,3.09104245335832, ,3.16758253048065, ,4.38202663467388,3,0
2,57,54,1,30,115,4,23,0,1,3,1,1,0,1,15.6,46.25,46.7,0,61.05,825.35,2624.25,2590.95,0,3348.85,1,1,1,1,1,1,1,1,1,2.74727091425549,3.83406146395843,3.84374416467485, ,4.11169320055671,4.74493212836325,4,1
1,29,38,1,12,75,5,1,0,0,4,0,1,1,0,5.1,0,30.25,11.25,0,146.25,0,780.8,295,0,1,0,0,1,0,0,0,0,0,1.62924053973028, ,3.40949618447685,2.42036812865043, ,4.31748811353631,2,0
3,34,48,0,3,49,2,6,0,1,3,1,0,0,0,6.65,18.5,0,0,0,230.8,614.3,0,0,0,0,0,0,0,0,1,1,1,0,1.89461685466776,2.91777073208428, , , ,3.89182029811063,3,0
1,26,29,1,3,77,4,2,0,0,4,0,1,1,1,6.7,0,48.1,24.25,38.3,140.95,0,1132.8,610,910.1,1,1,0,1,1,1,1,1,1,1.90210752639692, ,3.87328217711172,3.18841661738349,3.6454498961866,4.34380542185368,4,1
1,68,52,1,17,120,1,24,0,0,2,0,0,1,0,20.7,0,0,22,0,1391.05,0,0,1505,0,0,0,0,0,0,0,1,0,0,3.03013370027132, , ,3.09104245335832, ,4.78749174278205,1,0
3,55,48,1,19,67,1,25,0,0,3,0,0,1,0,15.05,0,0,27.25,0,810.45,0,0,1390,0,0,0,0,0,0,0,0,0,0,2.71137799119489, , ,3.30505352110925, ,4.20469261939097,1,0
2,1,21,0,0,33,2,0,0,1,3,1,0,1,0,2.2,20.75,0,40.5,0,2.2,20.75,0,40.5,0,0,0,0,0,0,1,1,1,0,.78845736036427,3.03254624667671, ,3.70130197411249, ,3.49650756146648,3,0
3,25,33,1,11,31,1,5,0,0,4,0,0,0,0,9.1,0,0,0,0,234.95,0,0,0,0,1,0,0,0,1,0,1,0,0,2.2082744135228, , , , ,3.43398720448515,3,0
2,13,33,1,9,19,4,0,0,1,2,0,1,0,0,5.55,0,27.35,0,0,75.25,0,330.65,0,0,1,0,0,1,0,0,0,1,1,1.71379792775834, ,3.30871652886799, , ,2.94443897916644,2,0
1,71,53,1,27,155,5,12,0,0,2,1,0,1,1,21,56,0,34,49.95,1519.2,4064.3,0,2345,3646.9,1,1,0,1,0,0,1,1,1,3.04452243772342,4.02535169073515, ,3.52636052461616,3.91102250509456,5.04342511691925,4,0
1,11,27,1,8,55,5,0,0,0,3,0,1,0,0,4.8,0,19.55,0,0,54.1,0,220.4,0,0,1,0,0,1,0,0,0,0,0,1.56861591791385, ,2.97297528643138, , ,4.00733318523247,2,0
3,20,35,1,11,52,4,0,0,0,2,0,1,0,0,4.25,0,30.55,0,0,82.7,0,547.15,0,0,1,0,0,1,0,0,0,0,1,1.44691898293633, ,3.4193646856176, , ,3.95124371858143,2,1
1,44,57,1,1,186,2,17,0,0,2,1,0,1,1,9.8,33.5,0,36,41.65,428.25,1379.55,0,1535,1826.7,1,1,0,0,1,1,1,1,0,2.28238238567653,3.51154543883102, ,3.58351893845611,3.72930136861285,5.2257466737132,3,0
2,72,57,0,34,22,2,35,1,1,1,1,0,1,0,41.75,49,0,18.75,0,3043.05,3581,0,1360,0,1,0,0,0,1,1,1,1,0,3.73169945129686,3.89182029811063, ,2.93119375241642, ,3.09104245335832,3,0
2,15,28,0,0,29,2,4,0,1,1,1,0,1,0,4.25,30,0,17.75,0,78,426.05,0,255,0,0,0,0,0,1,1,1,1,0,1.44691898293633,3.40119738166216, ,2.87638551592142, ,3.36729582998647,3,0
1,9,36,1,14,62,4,10,0,0,6,0,1,0,1,5.65,0,46.75,0,48.5,43.3,0,386.6,0,364.85,1,1,1,1,0,0,0,1,1,1.73165554515835, ,3.8448142557347, ,3.88156379794344,4.12713438504509,4,1
1,65,41,1,3,74,4,16,0,0,2,0,1,1,0,14.5,0,37,17,0,963.3,0,2263.05,1065,0,1,1,0,1,0,0,0,0,1,2.67414864942653, ,3.61091791264422,2.83321334405622, ,4.30406509320417,2,0
3,47,41,1,0,36,4,8,0,0,2,0,1,1,1,7.75,0,37.45,18.5,38.8,361,0,1717.75,845,1730.4,1,0,1,1,0,1,0,1,1,2.04769284336526, ,3.62300670996323,2.91777073208428,3.65842024662923,3.58351893845611,4,1
1,5,36,0,14,29,2,9,0,1,1,1,0,1,1,3.25,31.5,0,15.5,26.75,16.8,154.65,0,60,98.6,0,0,0,1,1,1,1,1,1,1.17865499634165,3.44998754583159, ,2.7408400239252,3.28653447334202,3.36729582998647,3,1
1,56,52,1,28,49,2,12,0,0,4,0,0,1,0,24.75,0,0,22.25,0,1349.05,0,0,1215,0,1,0,0,0,0,0,0,0,0,3.2088254890147, , ,3.10234200861225, ,3.89182029811063,2,0
1,7,26,1,3,26,2,2,0,0,5,1,0,0,0,4.85,15.5,0,0,0,33.7,136.55,0,0,0,0,0,0,0,0,1,0,0,0,1.57897870494939,2.7408400239252, , , ,3.25809653802148,1,0
2,36,45,1,1,94,2,18,0,1,5,1,1,0,0,7.2,15.75,28.35,0,0,258.75,553.8,1043.8,0,0,0,0,1,1,1,0,0,1,0,1.97408102602201,2.75684036527164,3.34462703017376, , ,4.54329478227,1,1
1,58,62,1,36,27,1,0,0,0,2,0,0,1,0,15.5,0,0,34.5,0,967.1,0,0,1910,0,0,0,0,0,0,0,0,0,0,2.7408400239252, , ,3.54095932403731, ,3.29583686600433,1,0
2,47,40,1,16,127,4,12,0,1,4,0,1,1,0,19.7,0,28.15,14.75,0,909.9,0,1319.7,680,0,1,0,0,1,0,0,0,0,1,2.98061863574394, ,3.3375473545857,2.69124308278583, ,4.84418708645859,2,0
2,56,50,1,1,80,2,24,0,1,4,1,0,1,1,28.8,55.5,0,21.25,61.1,1558.1,3119.45,0,1065,3268.05,1,1,1,0,1,1,1,1,0,3.3603753871419,4.01638302075239, ,3.05635689537043,4.11251186617755,4.38202663467388,4,0
2,69,51,1,11,438,4,23,0,1,2,0,1,1,0,29,0,47.05,24.75,0,1815.4,0,3064.15,1655,0,1,0,1,1,1,0,0,1,0,3.36729582998647, ,3.85121086603139,3.2088254890147, ,6.08221891037645,4,0
3,36,47,1,16,63,1,23,0,0,2,0,0,1,0,9.05,0,0,6.75,0,373.65,0,0,220,0,0,0,0,0,0,0,0,0,0,2.20276475771183, , ,1.90954250488444, ,4.14313472639153,1,0
1,72,67,1,44,51,1,34,1,0,2,1,0,1,0,57.05,51.5,0,19.25,0,4168.25,3657.9,0,1345,0,1,0,0,0,1,1,1,1,0,4.04392807630808,3.94158180766969, ,2.95751106073379, ,3.93182563272433,3,0
3,3,43,0,19,61,4,11,0,1,1,0,1,1,1,3.15,0,27.25,16.25,17.95,7.9,0,53.25,20,38.2,0,0,0,1,1,0,0,1,1,1.14740245283754, ,3.30505352110925,2.78809290877575,2.88759011493429,4.11087386417331,1,1
3,16,39,0,6,44,4,3,0,1,1,0,1,0,0,6.6,0,23.3,0,0,96.3,0,350.15,0,0,1,0,0,1,0,0,0,0,1,1.88706964903238, ,3.14845336057165, , ,3.78418963391826,2,0
2,48,43,0,13,110,5,15,0,1,3,0,1,0,1,7.25,0,33.5,0,20.65,359.35,0,1572.7,0,1010.4,1,1,0,1,0,0,0,0,1,1.98100146886658, ,3.51154543883102, ,3.02771531940704,4.70048036579242,2,0
1,8,46,0,3,46,2,8,0,0,1,0,1,0,0,3.15,0,25.05,0,0,16.65,0,172.05,0,0,0,0,1,1,0,0,0,0,1,1.14740245283754, ,3.22087382753087, , ,3.8286413964891,1,0
2,38,71,0,27,10,2,12,1,0,1,0,0,0,0,11.2,0,0,0,0,429.85,0,0,0,0,0,0,0,0,0,0,0,1,0,2.41591377830105, , , , ,2.30258509299405,1,0
1,26,42,0,0,80,4,15,0,1,1,1,1,1,1,7.85,44,49.6,10.5,43.75,196.65,1123.25,1159.35,250,1176.55,1,1,1,1,1,1,1,1,1,2.06051353179432,3.78418963391826,3.90399083373088,2.35137525716348,3.77849161280362,4.38202663467388,4,0
2,2,31,0,2,21,1,6,0,0,1,0,1,0,0,1.65,0,21.6,0,0,3.2,0,17.25,0,0,0,0,0,0,0,0,0,1,0,.500775287912489, ,3.07269331469012, , ,3.04452243772342,1,1
2,31,53,0,2,351,3,31,0,1,1,1,0,1,0,5.5,31.5,0,19.25,0,185.3,1009.9,0,585,0,0,0,1,0,1,1,1,1,0,1.70474809223843,3.44998754583159, ,2.95751106073379, ,5.86078622346587,3,0
2,33,27,1,7,46,2,7,0,0,4,0,1,0,0,7.25,0,29.15,0,0,243.35,0,923.85,0,0,0,0,0,0,0,0,0,0,1,1.98100146886658, ,3.3724549127965, , ,3.8286413964891,1,0
2,62,54,1,2,50,4,3,0,0,2,0,1,1,1,17.25,0,48,87.5,33.25,1067.8,0,2864.15,5455,2022.55,1,1,1,1,1,0,1,0,1,2.84781214347737, ,3.87120101090789,4.47163879336357,3.50405476710186,3.91202300542815,4,1
1,42,47,1,17,212,4,17,0,0,2,1,0,1,0,7.45,26.75,0,24.75,0,320.9,1163.55,0,1035,0,0,0,0,0,1,1,1,0,0,2.00821403239147,3.28653447334202, ,3.2088254890147, ,5.35658627467201,3,0
2,38,42,0,1,30,4,7,0,1,1,1,0,0,0,13.2,27.5,0,0,0,495.85,1087.9,0,0,0,0,0,0,0,0,1,0,0,0,2.58021682959233,3.31418600467253, , , ,3.40119738166216,1,0
3,35,33,0,9,73,5,4,0,1,1,1,0,1,1,5.85,38.25,0,22.25,40.35,216.6,1337.6,0,700,1423.8,1,1,1,1,1,1,1,1,1,1.76644166124377,3.64414356027254, ,3.10234200861225,3.69759139471596,4.29045944114839,4,0
2,17,33,0,9,23,5,3,0,0,1,0,1,1,1,10.2,0,36.4,14.5,30.9,196.3,0,570.9,220,529.25,1,1,0,1,1,1,0,0,1,2.32238772029023, ,3.5945687746427,2.67414864942653,3.4307561839037,3.13549421592915,4,1
3,43,36,1,5,107,1,19,0,1,3,1,0,1,0,11.55,12.75,0,21.5,0,491.55,583.75,0,910,0,1,0,0,0,0,0,0,0,0,2.4466854369678,2.54553127160444, ,3.06805293513362, ,4.67282883446191,2,1
3,65,58,0,30,83,2,16,0,1,1,0,0,1,0,19.3,0,0,22.75,0,1323.2,0,0,1370,0,1,0,0,0,0,1,0,0,0,2.96010509591084, , ,3.12456514539696, ,4.4188406077966,2,0
3,64,25,1,4,76,3,2,0,1,6,0,1,1,0,24.05,0,35.4,21.25,0,1536.55,0,2288.45,1400,0,1,0,0,0,1,0,1,1,1,3.18013499655177, ,3.56671182013973,3.05635689537043, ,4.33073334028633,3,0
1,29,32,1,0,49,4,3,0,1,3,0,1,0,0,6.7,0,33,0,0,187,0,918.25,0,0,1,0,1,1,0,0,0,0,1,1.90210752639692, ,3.49650756146648, , ,3.89182029811063,2,1
2,14,35,0,4,47,3,10,0,1,1,1,0,0,1,5,21.75,0,0,24.15,76.2,318.2,0,0,274,1,0,0,0,0,0,1,1,1,1.6094379124341,3.07961375753469, , ,3.18428438009858,3.85014760171006,2,1
3,26,39,0,8,105,3,13,0,1,1,1,0,1,1,6.6,39.75,0,37.25,38.25,159.7,1022.45,0,1005,885.1,1,1,1,0,1,1,1,1,1,1.88706964903238,3.68260984110034, ,3.61765194482557,3.64414356027254,4.65396035015752,4,0
2,69,40,1,13,41,2,17,0,0,3,0,0,1,0,25.25,0,0,33,0,1725.1,0,0,2320,0,1,0,0,0,0,0,0,0,0,3.22882615572137, , ,3.49650756146648, ,3.71357206670431,2,0
2,45,22,1,2,36,4,0,0,1,5,1,1,0,0,9.95,14.75,26.15,0,0,412.1,663.1,1180.5,0,0,1,0,0,0,0,0,0,0,0,2.2975725511705,2.69124308278583,3.26384919051093, , ,3.58351893845611,2,1
2,53,22,0,1,25,4,0,0,0,2,0,1,1,0,12.05,0,27.15,6.5,0,666,0,1469.25,335,0,1,0,0,1,0,0,0,0,1,2.48906465993666, ,3.30137704637994,1.87180217690159, ,3.2188758248682,2,0
1,13,34,0,11,20,3,0,0,1,1,0,0,0,0,4.8,0,0,0,0,71.05,0,0,0,0,0,0,0,1,0,0,0,0,0,1.56861591791385, , , , ,2.99573227355399,1,0
1,40,29,1,6,40,2,8,0,1,5,0,0,0,0,13,0,0,0,0,502.95,0,0,0,0,0,0,0,0,0,1,1,1,0,2.56494935746154, , , , ,3.68887945411394,3,0
3,3,31,0,1,28,1,0,0,0,1,1,1,1,0,3.45,15.5,23.3,23.5,0,13.3,48.75,62.95,45,0,0,0,0,1,0,0,1,0,0,1.23837423104327,2.7408400239252,3.14845336057165,3.15700042115011, ,3.3322045101752,1,1
3,33,41,0,15,37,2,11,0,0,1,0,0,0,0,12.2,0,0,0,0,415.05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50143595173921, , , , ,3.61091791264422,1,0
1,17,42,1,6,131,5,6,0,0,3,0,1,0,1,5.8,0,35.35,0,21.65,103.1,0,527.8,0,331.4,1,0,0,1,0,0,0,0,1,1.75785791755237, ,3.56529839234258, ,3.0750054544485,4.87519732320115,2,1
2,58,36,0,10,38,2,14,0,1,1,0,0,1,0,10.15,0,0,17.75,0,538.65,0,0,1030,0,1,0,0,0,0,0,0,0,0,2.3174737054878, , ,2.87638551592142, ,3.63758615972639,2,0
2,29,31,1,1,60,4,6,0,0,5,0,1,0,0,9.6,0,26.75,0,0,243.9,0,730.8,0,0,1,0,0,1,0,0,0,0,1,2.26176309847379, ,3.28653447334202, , ,4.0943445622221,2,1
2,70,64,1,18,98,1,31,0,1,2,1,0,1,1,26.15,84,0,11.25,45.45,1805.1,5850.25,0,720,3243.25,1,1,1,0,1,1,1,1,0,3.26384919051093,4.43081679884331, ,2.42036812865043,3.81661282062349,4.58496747867057,4,0
2,7,35,1,0,47,1,14,0,0,5,0,0,0,0,5.2,0,0,0,0,46.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64865862558738, , , , ,3.85014760171006,1,1
1,50,50,1,22,150,5,5,0,1,4,0,1,1,0,19.3,0,33.4,50.75,0,930.8,0,1719.4,2585,0,1,1,0,1,0,0,1,0,1,2.96010509591084, ,3.50855589998265,3.9269116179219, ,5.01063529409626,2,1
3,2,40,0,19,51,4,14,0,1,1,0,0,0,0,4.25,0,0,0,0,6.8,0,0,0,0,0,1,0,1,0,0,0,0,1,1.44691898293633, , , , ,3.93182563272433,1,0
2,6,43,0,4,33,5,7,0,0,2,0,0,1,1,4.25,0,0,16.25,26.75,30,0,0,85,146.55,1,0,1,0,1,1,1,1,0,1.44691898293633, , ,2.78809290877575,3.28653447334202,3.49650756146648,3,0
3,11,32,0,6,125,4,5,0,0,1,1,1,1,1,3.8,19.25,61.45,19,58.25,31.75,233.4,578.6,200,577.7,1,1,1,1,1,1,1,1,1,1.33500106673234,2.95751106073379,4.11822383601204,2.94443897916644,4.06474409244581,4.8283137373023,4,1
1,42,44,1,2,99,2,21,0,0,3,1,0,1,0,22.05,34.75,0,9.75,0,841.55,1501.55,0,395,0,1,0,0,0,0,1,0,1,0,3.09331260189286,3.5481795720108, ,2.27726728500976, ,4.59511985013459,3,0
2,72,60,1,21,31,1,38,1,0,2,0,0,1,0,32.25,0,0,33.5,0,2349.25,0,0,2385,0,1,0,0,0,0,0,0,0,0,3.47351804324178, , ,3.51154543883102, ,3.43398720448515,2,0
3,46,25,0,5,57,5,0,0,1,2,1,1,1,1,20.25,21.25,39.4,9.75,28.35,923.95,968.95,1748.55,445,1246.45,0,0,0,1,0,0,1,1,1,3.00815479355255,3.05635689537043,3.67376581630389,2.27726728500976,3.34462703017376,4.04305126783455,1,0
3,24,25,1,1,20,3,1,0,1,2,0,1,0,0,8.15,0,27.95,0,0,209.35,0,615.8,0,0,1,0,0,1,1,0,1,0,0,2.09801792725277, ,3.33041719960111, , ,2.99573227355399,2,1
1,65,37,0,8,56,2,15,0,0,1,0,0,1,0,10.25,0,0,10.75,0,681.95,0,0,655,0,1,0,0,0,0,0,0,0,0,2.32727770558442, , ,2.37490575457367, ,4.02535169073515,2,0
1,57,37,0,11,108,4,9,0,1,1,1,1,1,0,21.8,27.25,42,8,0,1292,1492.1,2394.75,425,0,1,0,0,1,1,1,0,1,0,3.08190996979504,3.30505352110925,3.73766961828337,2.07944154167984, ,4.68213122712422,3,0
3,34,54,0,31,53,4,22,0,0,1,1,1,1,1,8.1,18,45.6,56.5,66.9,225.4,588.4,1463.8,1880,2304.8,1,1,1,1,0,0,1,0,1,2.09186406167839,2.89037175789616,3.81990771652034,4.0342406381524,4.20319896713418,3.97029191355212,4,0
1,3,24,1,2,20,2,3,0,1,5,1,0,1,0,3.35,22.5,0,9.25,0,7.55,49.55,0,15,0,0,1,0,1,1,1,0,1,0,1.20896034583698,3.11351530921037, ,2.22462355152433, ,2.99573227355399,3,0
2,15,35,0,0,34,1,12,0,0,1,0,0,0,0,3.95,0,0,0,0,47.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37371557891303, , , , ,3.52636052461616,1,0
3,21,44,0,25,47,1,12,0,1,2,0,0,1,0,7.05,0,0,14.5,0,182.3,0,0,285,0,0,0,0,0,1,1,1,1,0,1.95302761682418, , ,2.67414864942653, ,3.85014760171006,3,0
2,65,64,1,22,13,2,5,1,1,3,1,0,1,0,14.6,33,0,15.75,0,921.7,1990.2,0,930,0,0,0,0,0,1,1,1,1,0,2.68102152871429,3.49650756146648, ,2.75684036527164, ,2.56494935746154,3,0
3,29,26,0,7,34,1,7,0,1,2,0,0,1,0,6.5,0,0,16,0,198.7,0,0,490,0,0,0,0,0,1,1,0,0,0,1.87180217690159, , ,2.77258872223978, ,3.52636052461616,3,0
1,71,45,1,14,86,2,25,0,0,2,0,1,1,0,45.05,0,33,35,0,3235.9,0,2386.45,2495,0,1,0,0,1,0,0,0,0,0,3.80777298405435, ,3.49650756146648,3.55534806148941, ,4.45434729625351,2,0
3,16,34,1,5,51,2,8,0,1,5,0,0,1,0,4.7,0,0,16.5,0,61.5,0,0,260,0,0,0,0,0,0,0,0,0,0,1.54756250871601, , ,2.80336038090653, ,3.93182563272433,1,0
1,59,53,0,21,112,4,16,0,0,1,0,1,0,1,21.1,0,38.55,0,25.3,1236.3,0,2190.1,0,1465.35,1,0,0,1,0,0,0,0,1,3.04927304048202, ,3.65195610000934, ,3.23080439573347,4.71849887129509,2,1
1,18,48,1,20,41,1,2,0,1,2,1,0,1,0,4.35,13,0,8,0,59.15,220.95,0,135,0,0,0,0,0,1,1,0,0,0,1.47017584510059,2.56494935746154, ,2.07944154167984, ,3.71357206670431,1,0
2,7,33,0,4,29,4,4,0,1,3,0,1,0,0,4.65,0,28.35,0,0,35.45,0,166.5,0,0,0,0,0,1,0,0,0,0,1,1.53686721959927, ,3.34462703017376, , ,3.36729582998647,1,1
3,7,24,0,5,29,2,3,0,0,3,1,0,0,0,4.45,13.5,0,0,0,43.7,109.5,0,0,0,0,0,1,1,0,0,0,1,0,1.49290409617815,2.60268968544438, , , ,3.36729582998647,1,1
3,42,22,1,0,46,4,0,0,0,2,1,1,1,1,9.35,20.25,51.35,6,36,311.85,850.65,2099.55,270,1503.65,1,1,1,1,0,1,1,0,0,2.2353763433006,3.00815479355255,3.93866493637457,1.79175946922806,3.58351893845611,3.8286413964891,4,1
1,3,33,0,8,51,4,0,0,1,1,0,1,0,0,2.9,0,19.9,0,0,12.05,0,40.15,0,0,0,0,0,0,0,0,0,0,0,1.06471073699243, ,2.99071973173045, , ,3.93182563272433,1,1
2,9,33,0,1,48,2,13,0,0,2,1,0,1,0,3.15,13.25,0,30.5,0,39.75,110.05,0,275,0,0,0,0,0,1,1,0,0,0,1.14740245283754,2.58399755243223, ,3.41772668361337, ,3.87120101090789,1,0
2,53,63,1,15,43,2,18,0,0,2,0,1,1,0,14.85,0,37,11,0,808.95,0,2012.6,535,0,1,0,0,1,0,0,0,0,1,2.69799986524871, ,3.61091791264422,2.39789527279837, ,3.76120011569356,2,0
3,24,26,0,2,32,3,2,0,0,3,0,0,0,0,4.25,0,0,0,0,97.35,0,0,0,0,0,0,0,0,0,0,0,0,1,1.44691898293633, , , , ,3.46573590279973,1,0
1,25,39,1,1,26,4,0,0,0,4,0,1,1,1,14.45,0,35.95,23,24.75,349.9,0,895.05,515,640.8,1,1,1,1,0,0,0,0,1,2.67069441455844, ,3.58212908416706,3.13549421592915,3.2088254890147,3.25809653802148,2,1
1,33,54,1,18,57,4,4,0,1,3,1,1,0,0,7.5,30.25,33.9,0,0,226.25,1105.75,1108.5,0,0,1,0,0,1,1,1,1,0,0,2.01490302054226,3.40949618447685,3.5234150143864, , ,4.04305126783455,3,1
3,13,33,0,7,38,3,10,0,1,1,1,1,1,1,5.05,18.5,40.8,12.5,28.85,48.6,199.5,480.85,155,318.9,0,1,1,1,0,1,1,1,1,1.61938824328727,2.91777073208428,3.70868208141012,2.52572864430826,3.36210999295411,3.63758615972639,4,0
1,71,39,0,2,40,3,17,0,0,1,1,0,1,0,36.25,27.75,0,38.5,0,2553.7,1916.25,0,2620,0,1,1,0,0,0,1,0,1,0,3.59043938130068,3.32323584019244, ,3.65065824129374, ,3.68887945411394,3,0
1,17,51,1,10,95,2,15,0,1,2,0,0,0,0,7.45,0,0,0,0,132.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00821403239147, , , , ,4.55387689160054,1,1
2,65,65,1,27,128,3,24,0,0,2,1,0,1,0,21.2,24,0,14.5,0,1325.05,1483.55,0,940,0,1,0,0,0,1,1,1,1,0,3.05400118167797,3.17805383034795, ,2.67414864942653, ,4.85203026391962,3,0
